course_id,course_title,price,num_subscribers,num_reviews,num_lectures,subject
352150,Learn to Trade for Profit: Ten Most Profitable Trading Rules,95.0,739.0,28,45,Business Finance
791436,Succeed in Lotto Even if You Don't Know Where to Start!,20.0,1201.0,12,18,Business Finance
537878,CFA Corporate Finance Level 2,50.0,2474.0,6,128,Business Finance
923184,pin bars: the most powerful forex trading signal,200.0,494.0,16,19,business finance
476256,Stock Options Trades Using Interactive Brokers,95.0,1580.0,26,14,Business Finance
552504,Introduction to Options - Strategies For Consistent Profits,40.0,617.0,44,55,Business Finance
537888,Risk in Forex Transactions - for CA / CS / CFA exams,20.0,2235.0,3,9,Business Finance
385686,Basics of Business Statistics (College Level),20.0,2293.0,9,28,Business Finance
738900,"Trading Seasonal Price Patterns in Stocks, Futures, & Forex!",200.0,1094.0,8,13,Business Finance
57415,Interpreting Financial Statements,20.0,1449.0,29,23,Business Finance
155344,Introduction to Bookkeeping (Accounting),20.0,3251.0,10,59,Business Finance
42491,credit spread surgery - bear call and bull put mastery ,60.0,607.0,55,16,business finance
511952,Investment Banking: How to Land a Job on Wall Street,75.0,1218.0,30,63,Business Finance
530246,Learn To Invest In Index Funds and ETFs In 7 Easy Steps,20.0,1132.0,33,18,Business Finance
862786,Financial modeling: Build a multiples valuation model,20.0,656.0,17,20,Business Finance
165122,Trade Recap I - A Real Look at Futures Options Markets,20.0,3339.0,4,11,Business Finance
530768,Advanced Stock Options for Serious Equity Investors!,200.0,1271.0,23,7,Business Finance
218416,Trading Binary Options for Fun and Profit,,1574.0,24,46,Business Finance
619296,cfa: fast track your career in finance,20.0,1393.0,27,21,business finance
717278,How to be a Profitable Forex Trader,,1029.0,13,7,Business Finance
445916,Excel Dashboard - Interactive Excel Dashboard and Charts,30.0,843.0,54,34,Business Finance
267984,Accounting 101: Learn Business Finance Forecasting in 60mins,95.0,1730.0,12,12,Business Finance
180362,The Securities Trade Lifecycle,50.0,,110,22,Business Finance
364810,Double your Forex Account using the MAGIC MA trading robot,65.0,1160.0,117,24,Business Finance
692722,Technical Analysis 101: How to Profit During Market Crashes,95.0,1730.0,18,53,Business Finance
298558,Advanced Accounting for Investment Banking,50.0,1260.0,80,38,Business Finance
480752,investing in stocks with 10 simple rules,95.0,871.0,79,59,business finance
637922,Venture Capital. What is it and Why it Matters to You!,50.0,1566.0,48,25,Business Finance
337320,Cash Flow Valuation: Develop Your Financial Literacy,105.0,2987.0,23,19,Business Finance
876646,Direction-Independ Trading - Elite Forex Traders  Strategy,120.0,,15,28,Business Finance
529424,How to Become a Financial Analyst from Scratch!,40.0,2177.0,31,38,Business Finance
720814,First Steps to Trading the Forexmarkets : Technical Analysis,35.0,1772.0,19,15,Business Finance
515326,Financial analysis: Compare performance of companies,,1850.0,40,20,Business Finance
1218552,Forex for Beginners: Easy Forex Trading for Beginners,0.0,1780.0,32,9,Business Finance
851106,Investment Crowdfunding 101 (a.k.a Equity Crowdfunding),0.0,4607.0,181,11,Business Finance
429308,Read financial statements like a pro,50.0,12.0,1,38,Business Finance
302450,10 Numbers Every Business Owner Should Know,20.0,13.0,1,9,Business Finance
1117834,Learn How To Trade Gold In 2017,200.0,2.0,1,16,Business Finance
190816,IAS 18 - Revenue,0.0,2571.0,32,23,Business Finance
244000,Forex Trading: The High ROI Forex Trading End of Day Course,125.0,8.0,1,19,Business Finance
